tf,target,weight,label
E2F4,IGHV3-21,0.0,0
SATB1,IGHV3-21,0.0,0
IRF1,IGHV3-21,0.0,0
ATF6,IGHV3-21,3.1043449745591265,0
JUN,IGHV3-21,1.4176734576671222,0
JUND,IGHV3-21,0.0,0
POU2F2,IGHV3-21,-1.791615154736828,0
KLF3,IGHV3-21,0.0,0
BCL11A,IGHV3-21,0.0,0
MEF2D,JTB,0.0,0
E2F4,JTB,1.5734026012366824,0
SATB1,JTB,0.0,0
IRF1,JTB,-1.0805669803736035,0
ATF6,JTB,-1.6068136171308134,0
JUN,JTB,-0.8516195489072895,0
JUND,JTB,-0.9913041769463073,0
POU2F2,JTB,1.0877331998670263,0
KLF3,JTB,0.0,0
BCL11A,JTB,0.0,0
MEF2D,ERP29,0.0,0
E2F4,ERP29,0.0,0
SATB1,ERP29,0.0,0
IRF1,ERP29,-2.044551206197425,0
ATF6,ERP29,0.0,0
JUN,ERP29,0.0,0
JUND,ERP29,-2.2602380068752272,0
POU2F2,ERP29,1.155089223509723,0
KLF3,ERP29,0.0,0
BCL11A,ERP29,0.0,0
MEF2D,PSAP,0.0,0
E2F4,PSAP,0.0,0
SATB1,PSAP,0.0,0
IRF1,PSAP,-1.2113549211373038,0
ATF6,PSAP,2.6262890415443128,0
JUN,PSAP,0.0,0
JUND,PSAP,-1.9046931224096189,0
POU2F2,PSAP,1.1856123992363183,0
KLF3,PSAP,0.0,0
BCL11A,PSAP,0.0,0
MEF2D,EIF3J,0.0,0
E2F4,EIF3J,2.2912033335735065,0
SATB1,EIF3J,0.0,0
IRF1,EIF3J,0.0,0
ATF6,EIF3J,1.3121157601920577,0
JUN,EIF3J,0.0,0
JUND,EIF3J,0.0,0
POU2F2,EIF3J,0.0,0
KLF3,EIF3J,0.0,0
BCL11A,EIF3J,0.0,0
MEF2D,KRTCAP2,0.0,0
E2F4,KRTCAP2,0.0,0
SATB1,KRTCAP2,0.0,0
IRF1,KRTCAP2,-2.019423235339813,0
ATF6,KRTCAP2,2.0388625108264513,0
JUN,KRTCAP2,0.0,0
JUND,KRTCAP2,-1.2694468498696059,0
POU2F2,KRTCAP2,1.0338884597067264,0
KLF3,KRTCAP2,0.0,0
BCL11A,KRTCAP2,0.0,0
MEF2D,SPCS2,-1.344059723258998,0
E2F4,SPCS2,-1.0876215511772396,0
SATB1,SPCS2,0.0,0
IRF1,SPCS2,-2.2122660325234462,0
ATF6,SPCS2,0.0,0
JUN,SPCS2,-0.9819517639576449,0
JUND,SPCS2,-1.3904903125043973,0
POU2F2,SPCS2,0.9366074557982725,0
KLF3,SPCS2,0.8928687334701394,0
BCL11A,SPCS2,0.8119792968915339,0
MEF2D,COX7B,0.0,0
E2F4,COX7B,1.2967090575483018,0
SATB1,COX7B,0.0,0
IRF1,COX7B,-1.6190044195445732,0
ATF6,COX7B,-2.006639777283388,0
JUN,COX7B,0.0,0
JUND,COX7B,-0.8896992400164057,0
POU2F2,COX7B,0.0,0
KLF3,COX7B,0.814692313918252,0
BCL11A,COX7B,0.0,0
MEF2D,PSMB1,0.0,0
E2F4,PSMB1,0.0,0
SATB1,PSMB1,0.0,0
IRF1,PSMB1,-1.135418249299249,0
ATF6,PSMB1,2.5220967191504244,0
JUN,PSMB1,0.0,0
JUND,PSMB1,0.0,0
POU2F2,PSMB1,0.0,0
KLF3,PSMB1,0.0,0
BCL11A,PSMB1,0.0,0
MEF2D,BIRC3,-1.1917446417607438,0
E2F4,BIRC3,0.0,0
SATB1,BIRC3,0.0,0
IRF1,BIRC3,-0.9177489684588884,0
ATF6,BIRC3,-1.7153448520785328,0
JUN,BIRC3,-2.6877392281787422,0
JUND,BIRC3,1.3093130902840195,0
POU2F2,BIRC3,-0.98253971378158,0
KLF3,BIRC3,1.5320903651982793,0
BCL11A,BIRC3,0.0,0
MEF2D,TMED9,0.0,0
E2F4,TMED9,-0.845952019538639,0
SATB1,TMED9,0.0,0
IRF1,TMED9,-1.0412229022257118,0
ATF6,TMED9,2.864867239379057,0
JUN,TMED9,0.0,0
JUND,TMED9,-2.1742256691305095,0
POU2F2,TMED9,0.0,0
KLF3,TMED9,1.7309374902505168,0
BCL11A,TMED9,0.7996785162785325,0
MEF2D,MYL6,0.0,0
E2F4,MYL6,0.0,0
SATB1,MYL6,0.0,0
IRF1,MYL6,-1.8610463048665156,0
ATF6,MYL6,0.0,0
JUN,MYL6,0.0,0
JUND,MYL6,-1.1254881138337616,0
POU2F2,MYL6,0.0,0
KLF3,MYL6,0.0,0
BCL11A,MYL6,0.0,0
MEF2D,ATOX1,0.0,0
E2F4,ATOX1,0.8082368852804144,0
SATB1,ATOX1,0.0,0
IRF1,ATOX1,-1.256943819338315,0
ATF6,ATOX1,0.0,0
JUN,ATOX1,-1.1958524837324622,0
JUND,ATOX1,-0.9553211818199508,0
POU2F2,ATOX1,1.235570308722982,0
KLF3,ATOX1,0.0,0
BCL11A,ATOX1,0.0,0
MEF2D,CFLAR,-1.318185269115653,0
E2F4,CFLAR,0.0,0
SATB1,CFLAR,0.0,0
IRF1,CFLAR,-1.066259639942931,0
ATF6,CFLAR,-0.9587175676339819,0
JUN,CFLAR,-1.222847143269407,0
JUND,CFLAR,1.2417085043062417,0
POU2F2,CFLAR,0.0,0
KLF3,CFLAR,0.0,0
BCL11A,CFLAR,0.0,0
MEF2D,SSR2,-1.3422661976024024,0
E2F4,SSR2,0.0,0
SATB1,SSR2,0.0,0
IRF1,SSR2,-1.311753168233805,0
ATF6,SSR2,0.0,0
JUN,SSR2,0.0,0
JUND,SSR2,-1.8890287153027538,0
POU2F2,SSR2,0.0,0
KLF3,SSR2,0.0,0
BCL11A,SSR2,0.0,0
MEF2D,ERGIC3,0.0,0
E2F4,ERGIC3,1.1049894659918222,0
SATB1,ERGIC3,0.0,0
IRF1,ERGIC3,-1.3691458949768782,0
ATF6,ERGIC3,0.0,0
JUN,ERGIC3,-1.0170434500825585,0
JUND,ERGIC3,-1.4837345292301838,0
POU2F2,ERGIC3,1.2506954885969042,0
KLF3,ERGIC3,0.0,0
BCL11A,ERGIC3,0.0,0
MEF2D,HSPE1,0.0,0
E2F4,HSPE1,1.174941827667027,0
SATB1,HSPE1,0.0,0
IRF1,HSPE1,0.0,0
ATF6,HSPE1,-0.9732671751971059,0
JUN,HSPE1,0.0,0
JUND,HSPE1,0.0,0
POU2F2,HSPE1,0.0,0
KLF3,HSPE1,0.0,0
BCL11A,HSPE1,0.0,0
MEF2D,SDC1,1.8272931128940804,0
E2F4,SDC1,0.9078621424924167,0
SATB1,SDC1,0.0,0
IRF1,SDC1,0.0,0
ATF6,SDC1,1.8975357732904476,0
JUN,SDC1,0.0,0
JUND,SDC1,0.0,0
POU2F2,SDC1,1.1490285654204409,0
KLF3,SDC1,0.0,0
BCL11A,SDC1,-1.197565954582996,0
MEF2D,GABPB1-AS1,0.0,0
E2F4,GABPB1-AS1,0.0,0
SATB1,GABPB1-AS1,0.0,0
IRF1,GABPB1-AS1,1.6983905955748964,0
ATF6,GABPB1-AS1,-1.1651769156119238,0
JUN,GABPB1-AS1,0.0,0
JUND,GABPB1-AS1,-0.8230287690273185,0
POU2F2,GABPB1-AS1,1.6745610320812132,0
KLF3,GABPB1-AS1,0.0,0
BCL11A,GABPB1-AS1,0.0,0
MEF2D,UBB,-0.8481227372014587,0
E2F4,UBB,0.0,0
SATB1,UBB,0.0,0
IRF1,UBB,-1.0068329569959613,0
ATF6,UBB,1.3486125462975,0
JUN,UBB,0.0,0
JUND,UBB,-1.0588185228871192,0
POU2F2,UBB,0.9584901206684665,0
KLF3,UBB,0.0,0
BCL11A,UBB,0.0,0
MEF2D,TIMM13,0.0,0
E2F4,TIMM13,0.0,0
SATB1,TIMM13,0.0,0
IRF1,TIMM13,0.0,0
ATF6,TIMM13,0.0,0
JUN,TIMM13,0.0,0
JUND,TIMM13,-1.0870658124142196,0
POU2F2,TIMM13,1.1230449347980564,0
KLF3,TIMM13,1.2186726493140247,0
BCL11A,TIMM13,-0.8090932676899872,0
MEF2D,LRPAP1,0.0,0
E2F4,LRPAP1,0.8379053194074647,0
SATB1,LRPAP1,0.0,0
IRF1,LRPAP1,-1.4493716867662987,0
ATF6,LRPAP1,1.6614119348308516,0
JUN,LRPAP1,0.0,0
JUND,LRPAP1,-2.064750396096032,0
POU2F2,LRPAP1,0.0,0
KLF3,LRPAP1,0.7384907407944971,0
BCL11A,LRPAP1,0.0,0
MEF2D,SNRPD1,0.0,0
E2F4,SNRPD1,0.7823886319149832,0
SATB1,SNRPD1,0.0,0
IRF1,SNRPD1,0.0,0
ATF6,SNRPD1,0.0,0
JUN,SNRPD1,-0.899173540429512,0
JUND,SNRPD1,0.0,0
POU2F2,SNRPD1,0.0,0
KLF3,SNRPD1,0.9687184740570454,0
BCL11A,SNRPD1,0.0,0
MEF2D,CNBP,-0.7587373473525664,0
E2F4,CNBP,0.0,0
SATB1,CNBP,0.0,0
IRF1,CNBP,-0.9485942902333947,0
ATF6,CNBP,1.848163481174388,0
JUN,CNBP,0.0,0
JUND,CNBP,-0.8270977896222166,0
POU2F2,CNBP,0.9893021726358188,0
KLF3,CNBP,1.2302219397420875,0
BCL11A,CNBP,0.0,0
MEF2D,RNASEH2C,0.0,0
E2F4,RNASEH2C,0.0,0
SATB1,RNASEH2C,0.0,0
IRF1,RNASEH2C,-2.0341991207981143,0
ATF6,RNASEH2C,0.0,0
JUN,RNASEH2C,-1.0201466546051132,0
JUND,RNASEH2C,-1.5033752604784905,0
POU2F2,RNASEH2C,0.9147867027047771,0
KLF3,RNASEH2C,0.8672398331462271,0
BCL11A,RNASEH2C,0.0,0
MEF2D,IDS,1.2036666021008076,0
E2F4,IDS,0.0,0
SATB1,IDS,0.0,0
IRF1,IDS,0.8897985936591288,0
ATF6,IDS,0.0,0
