Cell,treatment,final_annotation_functional
13_05_81__s7,PD-L1,Basal-like
18_04_12__s7,PD-L1,Basal-like
18_56_37__s1,PD-L1,Basal-like
15_80_90__s5,PD-L1,Proliferating cells
13_23_33__s1,PD-L1,Proliferating cells
14_27_14__s1,PD-L1,Basal-like
13_18_27__s2,PD-L1,Basal-like
17_23_45__s6,PD-L1,Basal-like
16_84_43__s3,PD-L1,Proliferating cells
15_07_37__s7,PD-L1,Basal-like
13_48_04__s6,PD-L1,Basal-like
14_44_43__s7,PD-L1,Proliferating cells
13_94_74__s3,PD-L1,Basal-like
14_42_05__s3,PD-L1,Proliferating cells
15_56_73__s3,PD-L1,Basal-like
18_28_20__s2,PD-L1,Basal-like
16_30_02__s8,PD-L1,Basal-like
14_89_52__s8,PD-L1,Proliferating cells
14_22_86__s7,PD-L1,Proliferating cells
15_49_71__s8,PD-L1,Proliferating cells
17_43_82__s1,PD-L1,Basal-like
15_71_56__s3,PD-L1,Proliferating cells
15_75_86__s3,PD-L1,Proliferating cells
17_73_35__s4,PD-L1,Basal-like
17_17_14__s1,PD-L1,Basal-like
16_40_04__s2,PD-L1,Proliferating cells
18_22_22__s8,PD-L1,Basal-like
15_66_80__s8,PD-L1,Basal-like
15_25_37__s6,PD-L1,Proliferating cells
16_16_69__s2,PD-L1,Basal-like
16_57_62__s1,PD-L1,Proliferating cells
13_50_46__s7,PD-L1,Proliferating cells
13_68_64__s3,PD-L1,Proliferating cells
14_80_91__s5,PD-L1,Basal-like
15_45_34__s1,PD-L1,Basal-like
17_62_96__s1,PD-L1,Proliferating cells
13_84_73__s8,PD-L1,Basal-like
18_85_01__s2,PD-L1,Basal-like
18_72_39__s5,PD-L1,Basal-like
15_65_81__s4,PD-L1,Basal-like
13_45_86__s5,PD-L1,Proliferating cells
15_53_86__s1,PD-L1,Proliferating cells
17_76_41__s5,PD-L1,Proliferating cells
18_79_73__s2,PD-L1,Basal-like
16_46_05__s2,PD-L1,Basal-like
13_24_45__s3,PD-L1,Proliferating cells
14_88_40__s7,PD-L1,Basal-like
16_34_38__s1,PD-L1,Proliferating cells
13_81_79__s7,PD-L1,Proliferating cells
13_08_30__s5,PD-L1,Proliferating cells
14_34_77__s5,PD-L1,Proliferating cells
16_85_79__s3,PD-L1,Basal-like
18_56_73__s2,PD-L1,Basal-like
15_87_34__s2,PD-L1,Proliferating cells
18_26_26__s1,PD-L1,Basal-like
17_39_35__s6,PD-L1,Proliferating cells
17_55_24__s6,PD-L1,Basal-like
15_79_54__s5,PD-L1,Basal-like
17_80_49__s8,PD-L1,Basal-like
15_01_52__s6,PD-L1,Basal-like
13_06_48__s1,PD-L1,Proliferating cells
16_04_64__s6,PD-L1,Basal-like
13_44_93__s7,PD-L1,Basal-like
14_05_80__s2,PD-L1,Basal-like
16_13_88__s3,PD-L1,Proliferating cells
13_79_96__s5,PD-L1,Basal-like
18_61_58__s5,PD-L1,Proliferating cells
17_56_82__s3,PD-L1,Basal-like
18_49_95__s4,PD-L1,Basal-like
16_47_43__s3,PD-L1,Basal-like
13_85_30__s6,PD-L1,Proliferating cells
17_25_27__s1,PD-L1,Proliferating cells
14_91_68__s5,PD-L1,Basal-like
14_55_31__s3,PD-L1,Basal-like
13_45_94__s5,PD-L1,Proliferating cells
18_40_84__s2,PD-L1,Basal-like
13_16_74__s1,PD-L1,Proliferating cells
13_04_19__s6,PD-L1,Proliferating cells
17_77_93__s5,PD-L1,Proliferating cells
14_22_64__s3,PD-L1,Proliferating cells
14_49_43__s1,PD-L1,Basal-like
14_93_30__s1,PD-L1,Basal-like
14_02_63__s7,PD-L1,Proliferating cells
18_09_21__s4,PD-L1,Proliferating cells
17_75_69__s5,PD-L1,Proliferating cells
14_49_06__s7,PD-L1,Basal-like
14_08_72__s4,PD-L1,Basal-like
18_54_34__s1,PD-L1,Proliferating cells
18_20_44__s8,PD-L1,Basal-like
13_54_63__s3,PD-L1,Basal-like
14_09_14__s7,PD-L1,Basal-like
13_84_45__s7,PD-L1,Basal-like
13_14_42__s5,PD-L1,Proliferating cells
17_09_81__s5,PD-L1,Basal-like
18_45_64__s5,PD-L1,Proliferating cells
18_11_94__s2,PD-L1,Proliferating cells
16_85_61__s7,PD-L1,Proliferating cells
17_93_33__s7,PD-L1,Basal-like
13_75_55__s2,PD-L1,Proliferating cells
13_28_24__s3,PD-L1,Basal-like
13_84_70__s1,PD-L1,Proliferating cells
14_93_54__s1,PD-L1,Basal-like
17_52_96__s7,PD-L1,Proliferating cells
15_16_06__s3,PD-L1,Proliferating cells
14_95_93__s4,PD-L1,Basal-like
15_48_55__s1,PD-L1,Proliferating cells
14_74_16__s8,PD-L1,Basal-like
14_57_42__s4,PD-L1,Basal-like
17_12_80__s1,PD-L1,Proliferating cells
17_40_74__s6,PD-L1,Proliferating cells
14_55_14__s1,PD-L1,Basal-like
16_44_74__s8,PD-L1,Basal-like
17_28_74__s2,PD-L1,Basal-like
15_31_55__s4,PD-L1,Basal-like
16_36_44__s5,PD-L1,Basal-like
18_64_67__s8,PD-L1,Basal-like
15_90_55__s5,PD-L1,Basal-like
17_22_70__s7,PD-L1,Basal-like
13_60_22__s3,PD-L1,Proliferating cells
15_42_38__s8,PD-L1,Proliferating cells
14_33_20__s2,PD-L1,Basal-like
18_09_51__s7,PD-L1,Proliferating cells
17_12_09__s6,PD-L1,Basal-like
15_09_89__s1,PD-L1,Basal-like
17_46_04__s3,PD-L1,Basal-like
13_47_24__s3,PD-L1,Basal-like
18_43_22__s1,PD-L1,Basal-like
18_80_91__s2,PD-L1,Proliferating cells
15_30_38__s4,PD-L1,Basal-like
16_30_27__s3,PD-L1,Proliferating cells
14_31_03__s6,PD-L1,Basal-like
18_95_58__s1,PD-L1,Proliferating cells
13_27_30__s1,PD-L1,Proliferating cells
15_41_05__s5,PD-L1,Basal-like
14_88_72__s4,PD-L1,Proliferating cells
18_29_22__s8,PD-L1,Proliferating cells
17_40_41__s5,PD-L1,Basal-like
13_80_93__s6,PD-L1,Basal-like
13_38_95__s5,PD-L1,Basal-like
18_70_43__s2,PD-L1,Basal-like
18_24_46__s4,PD-L1,Basal-like
18_56_32__s7,PD-L1,Basal-like
18_44_74__s8,PD-L1,Basal-like
18_43_34__s3,PD-L1,Proliferating cells
16_72_16__s2,PD-L1,Proliferating cells
17_15_91__s5,PD-L1,Proliferating cells
15_24_10__s2,PD-L1,Proliferating cells
17_20_64__s8,PD-L1,Proliferating cells
13_04_50__s5,PD-L1,Basal-like
14_72_32__s5,PD-L1,Proliferating cells
17_90_46__s8,PD-L1,Proliferating cells
14_41_75__s6,PD-L1,Proliferating cells
15_17_91__s2,PD-L1,Basal-like
17_42_94__s6,PD-L1,Basal-like
15_61_07__s7,PD-L1,Basal-like
17_65_10__s1,PD-L1,Basal-like
15_45_80__s6,PD-L1,Basal-like
16_30_80__s3,PD-L1,Basal-like
14_18_36__s5,PD-L1,Basal-like
15_56_11__s8,PD-L1,Proliferating cells
17_21_86__s6,PD-L1,Basal-like
14_56_75__s3,PD-L1,Proliferating cells
17_95_41__s3,PD-L1,Proliferating cells
18_86_38__s1,PD-L1,Proliferating cells
18_59_42__s5,PD-L1,Basal-like
13_36_28__s7,PD-L1,Basal-like
18_37_80__s2,PD-L1,Proliferating cells
18_11_39__s1,PD-L1,Basal-like
16_70_71__s1,PD-L1,Proliferating cells
16_05_57__s5,PD-L1,Proliferating cells
17_04_27__s2,PD-L1,Proliferating cells
18_36_51__s2,PD-L1,Basal-like
17_36_94__s1,PD-L1,Proliferating cells
14_65_73__s2,PD-L1,Basal-like
15_49_11__s5,PD-L1,Basal-like
15_27_82__s7,PD-L1,Proliferating cells
14_38_47__s1,PD-L1,Proliferating cells
14_72_90__s4,PD-L1,Proliferating cells
15_63_05__s3,PD-L1,Basal-like
13_49_56__s6,PD-L1,Proliferating cells
17_34_74__s6,PD-L1,Proliferating cells
14_31_50__s1,PD-L1,Proliferating cells
15_16_36__s1,PD-L1,Proliferating cells
15_40_32__s2,PD-L1,Proliferating cells
16_86_84__s6,PD-L1,Basal-like
14_71_34__s1,PD-L1,Basal-like
16_51_18__s2,PD-L1,Basal-like
18_48_53__s2,PD-L1,Proliferating cells
16_66_38__s1,PD-L1,Basal-like
15_64_18__s5,PD-L1,Proliferating cells
18_19_63__s1,PD-L1,Basal-like
13_83_45__s5,PD-L1,Proliferating cells
16_56_84__s8,PD-L1,Basal-like
16_66_67__s6,PD-L1,Basal-like
13_52_15__s1,PD-L1,Basal-like
14_26_78__s5,PD-L1,Proliferating cells
13_09_15__s1,PD-L1,Proliferating cells
13_74_25__s3,PD-L1,Proliferating cells
16_68_77__s7,PD-L1,Basal-like
15_43_27__s5,PD-L1,Basal-like
16_26_95__s1,PD-L1,Proliferating cells
13_75_29__s8,PD-L1,Basal-like
18_36_44__s2,PD-L1,Proliferating cells
16_04_51__s5,PD-L1,Basal-like
18_88_73__s4,PD-L1,Proliferating cells
18_78_60__s4,PD-L1,Basal-like
17_15_58__s4,PD-L1,Proliferating cells
18_06_31__s6,PD-L1,Proliferating cells
14_81_83__s6,PD-L1,Basal-like
13_32_41__s2,PD-L1,Proliferating cells
16_90_52__s2,PD-L1,Proliferating cells
14_41_31__s7,PD-L1,Basal-like
14_54_29__s2,PD-L1,Basal-like
17_77_89__s8,PD-L1,Basal-like
16_58_26__s2,PD-L1,Basal-like
14_11_69__s2,PD-L1,Basal-like
17_06_47__s1,PD-L1,Basal-like
16_61_82__s4,PD-L1,Proliferating cells
15_32_93__s8,PD-L1,Basal-like
17_20_05__s3,PD-L1,Basal-like
14_18_64__s7,PD-L1,Basal-like
13_10_21__s4,PD-L1,Proliferating cells
13_36_58__s5,PD-L1,Proliferating cells
16_38_69__s7,PD-L1,Basal-like
16_65_78__s2,PD-L1,Proliferating cells
14_28_11__s3,PD-L1,Basal-like
15_20_33__s8,PD-L1,Basal-like
16_94_66__s6,PD-L1,Basal-like
14_88_29__s6,PD-L1,Basal-like
14_17_10__s1,PD-L1,Basal-like
16_81_41__s3,PD-L1,Basal-like
15_01_02__s2,PD-L1,Basal-like
14_56_96__s6,PD-L1,Basal-like
18_93_67__s2,PD-L1,Basal-like
17_54_18__s8,PD-L1,Proliferating cells
18_02_40__s7,PD-L1,Basal-like
13_12_34__s2,PD-L1,Basal-like
16_20_16__s7,PD-L1,Basal-like
13_22_54__s4,PD-L1,Basal-like
16_59_22__s1,PD-L1,Basal-like
17_30_07__s6,PD-L1,Basal-like
17_47_83__s7,PD-L1,Basal-like
18_15_49__s8,PD-L1,Basal-like
17_66_63__s3,PD-L1,Basal-like
14_11_65__s5,PD-L1,Basal-like
13_46_81__s8,PD-L1,Proliferating cells
14_25_37__s4,PD-L1,Proliferating cells
15_11_64__s5,PD-L1,Basal-like
17_40_87__s1,PD-L1,Basal-like
18_46_94__s1,PD-L1,Proliferating cells
18_17_60__s6,PD-L1,Proliferating cells
18_66_21__s2,PD-L1,Basal-like
15_71_75__s7,PD-L1,Proliferating cells
15_13_86__s4,PD-L1,Proliferating cells
13_67_76__s3,PD-L1,Basal-like
16_33_66__s4,PD-L1,Basal-like
15_02_42__s6,PD-L1,Proliferating cells
13_28_84__s4,PD-L1,Basal-like
18_94_68__s2,PD-L1,Basal-like
17_93_32__s1,PD-L1,Basal-like
15_71_29__s8,PD-L1,Proliferating cells
16_78_59__s5,PD-L1,Basal-like
18_77_91__s5,PD-L1,Basal-like
13_17_68__s4,PD-L1,Basal-like
13_72_29__s8,PD-L1,Proliferating cells
17_94_66__s2,PD-L1,Basal-like
13_81_52__s3,PD-L1,Basal-like
14_32_26__s2,PD-L1,Proliferating cells
17_37_66__s4,PD-L1,Basal-like
14_93_08__s2,PD-L1,Basal-like
17_29_18__s1,PD-L1,Proliferating cells
18_81_50__s1,PD-L1,Proliferating cells
18_07_32__s3,PD-L1,Basal-like
17_45_08__s2,PD-L1,Basal-like
17_19_42__s3,PD-L1,Basal-like
17_39_91__s5,PD-L1,Basal-like
18_82_27__s2,PD-L1,Proliferating cells
17_79_49__s5,PD-L1,Proliferating cells
17_03_51__s4,PD-L1,Proliferating cells
15_49_50__s1,PD-L1,Proliferating cells
18_25_08__s1,PD-L1,Basal-like
15_21_41__s1,PD-L1,Basal-like
18_62_17__s8,PD-L1,Basal-like
18_44_21__s8,PD-L1,Basal-like
15_20_21__s4,PD-L1,Proliferating cells
13_72_88__s1,PD-L1,Basal-like
13_43_34__s4,PD-L1,Basal-like
15_52_75__s5,PD-L1,Basal-like
15_05_23__s5,PD-L1,Proliferating cells
17_50_29__s8,PD-L1,Basal-like
13_20_72__s1,PD-L1,Proliferating cells
13_81_28__s3,PD-L1,Proliferating cells
14_21_17__s5,PD-L1,Proliferating cells
14_43_30__s8,PD-L1,Proliferating cells
13_73_87__s6,PD-L1,Basal-like
16_53_32__s5,PD-L1,Basal-like
17_46_88__s6,PD-L1,Basal-like
14_89_71__s7,PD-L1,Proliferating cells
13_45_86__s8,PD-L1,Proliferating cells
18_96_21__s6,PD-L1,Proliferating cells
13_81_44__s5,PD-L1,Basal-like
15_21_77__s1,PD-L1,Basal-like
17_15_48__s6,PD-L1,Basal-like
16_64_85__s6,PD-L1,Proliferating cells
18_52_42__s7,PD-L1,Proliferating cells
13_01_31__s5,PD-L1,Basal-like
13_45_13__s2,PD-L1,Basal-like
13_68_61__s7,PD-L1,Basal-like
18_16_19__s2,PD-L1,Basal-like
15_80_52__s8,PD-L1,Basal-like
15_77_15__s1,PD-L1,Basal-like
16_36_88__s8,PD-L1,Proliferating cells
13_76_29__s2,PD-L1,Basal-like
14_48_20__s4,PD-L1,Basal-like
18_91_21__s8,PD-L1,Proliferating cells
13_54_86__s1,PD-L1,Basal-like
16_84_91__s4,PD-L1,Proliferating cells
18_68_62__s1,PD-L1,Proliferating cells
16_05_51__s3,PD-L1,Basal-like
15_04_59__s3,PD-L1,Basal-like
18_46_78__s5,PD-L1,Proliferating cells
14_28_37__s3,PD-L1,Proliferating cells
18_86_84__s1,PD-L1,Proliferating cells
15_56_59__s3,PD-L1,Proliferating cells
14_13_09__s6,PD-L1,Proliferating cells
15_83_02__s2,PD-L1,Proliferating cells
18_69_69__s3,PD-L1,Basal-like
15_04_50__s8,PD-L1,Basal-like
16_08_61__s7,PD-L1,Proliferating cells
15_35_41__s3,PD-L1,Proliferating cells
17_51_16__s6,PD-L1,Proliferating cells
14_88_05__s8,PD-L1,Basal-like
18_30_22__s6,PD-L1,Proliferating cells
13_94_26__s1,PD-L1,Basal-like
13_92_42__s7,PD-L1,Basal-like
14_61_57__s5,PD-L1,Basal-like
13_82_09__s3,PD-L1,Basal-like
18_86_53__s4,PD-L1,Proliferating cells
18_45_79__s6,PD-L1,Basal-like
18_77_42__s8,PD-L1,Proliferating cells
14_14_11__s6,PD-L1,Proliferating cells
16_66_68__s8,PD-L1,Basal-like
13_45_14__s6,PD-L1,Basal-like
16_60_17__s1,PD-L1,Proliferating cells
14_11_10__s6,PD-L1,Proliferating cells
16_57_90__s7,PD-L1,Basal-like
16_10_04__s7,PD-L1,Basal-like
18_45_16__s8,PD-L1,Basal-like
15_90_63__s5,PD-L1,Proliferating cells
16_89_44__s2,PD-L1,Basal-like
13_55_48__s7,PD-L1,Basal-like
16_62_93__s4,PD-L1,Basal-like
14_54_46__s1,PD-L1,Basal-like
16_39_09__s5,PD-L1,Basal-like
14_33_55__s3,PD-L1,Proliferating cells
16_10_67__s2,PD-L1,Basal-like
13_82_88__s8,PD-L1,Basal-like
16_69_07__s8,PD-L1,Proliferating cells
15_89_43__s3,PD-L1,Basal-like
17_56_30__s7,PD-L1,Basal-like
13_74_75__s5,PD-L1,Proliferating cells
17_96_61__s7,PD-L1,Basal-like
14_20_86__s4,PD-L1,Proliferating cells
13_74_64__s1,PD-L1,Basal-like
16_15_41__s7,PD-L1,Basal-like
13_50_46__s2,PD-L1,Basal-like
14_48_73__s7,PD-L1,Proliferating cells
17_88_14__s7,PD-L1,Proliferating cells
17_86_79__s5,PD-L1,Basal-like
13_08_57__s5,PD-L1,Basal-like
17_79_30__s7,PD-L1,Basal-like
18_28_17__s8,PD-L1,Basal-like
17_93_92__s6,PD-L1,Basal-like
14_81_82__s7,PD-L1,Proliferating cells
18_44_56__s8,PD-L1,Proliferating cells
13_31_90__s2,PD-L1,Proliferating cells
18_11_58__s3,PD-L1,Proliferating cells
17_67_52__s3,PD-L1,Proliferating cells
18_79_11__s3,PD-L1,Basal-like
14_82_87__s4,PD-L1,Basal-like
16_65_77__s7,PD-L1,Basal-like
18_65_93__s7,PD-L1,Basal-like
18_45_20__s1,PD-L1,Basal-like
13_94_09__s4,PD-L1,Basal-like
18_18_02__s7,PD-L1,Basal-like
16_69_29__s7,PD-L1,Proliferating cells
18_20_34__s1,PD-L1,Proliferating cells
13_11_55__s8,PD-L1,Basal-like
16_91_16__s7,PD-L1,Basal-like
18_16_53__s8,PD-L1,Basal-like
13_40_30__s4,PD-L1,Proliferating cells
14_33_42__s4,PD-L1,Proliferating cells
15_64_20__s8,PD-L1,Basal-like
17_75_09__s1,PD-L1,Proliferating cells
18_68_14__s4,PD-L1,Proliferating cells
14_92_58__s5,PD-L1,Basal-like
13_35_10__s1,PD-L1,Proliferating cells
18_58_24__s7,PD-L1,Basal-like
14_80_19__s1,PD-L1,Basal-like
16_07_94__s1,PD-L1,Basal-like
15_24_01__s7,PD-L1,Basal-like
16_15_43__s4,PD-L1,Proliferating cells
18_67_40__s4,PD-L1,Basal-like
15_73_28__s7,PD-L1,Basal-like
15_45_45__s7,PD-L1,Proliferating cells
16_21_24__s1,PD-L1,Proliferating cells
18_08_82__s2,PD-L1,Basal-like
17_68_50__s1,PD-L1,Proliferating cells
18_61_20__s6,PD-L1,Proliferating cells
15_07_03__s3,PD-L1,Basal-like
16_07_79__s4,PD-L1,Basal-like
18_10_15__s7,PD-L1,Proliferating cells
14_41_21__s3,PD-L1,Proliferating cells
15_56_64__s4,PD-L1,Proliferating cells
18_82_22__s4,PD-L1,Basal-like
13_75_23__s2,PD-L1,Basal-like
17_55_60__s7,PD-L1,Basal-like
17_58_75__s4,PD-L1,Basal-like
15_78_06__s6,PD-L1,Basal-like
13_12_37__s8,PD-L1,Basal-like
16_65_36__s2,PD-L1,Basal-like
15_83_35__s5,PD-L1,Proliferating cells
18_59_40__s8,PD-L1,Basal-like
13_77_32__s5,PD-L1,Basal-like
15_12_65__s4,PD-L1,Basal-like
18_52_75__s3,PD-L1,Basal-like
18_39_63__s7,PD-L1,Basal-like
13_42_78__s4,PD-L1,Proliferating cells
13_89_91__s1,PD-L1,Proliferating cells
16_87_14__s3,PD-L1,Proliferating cells
13_58_33__s3,PD-L1,Proliferating cells
18_55_59__s8,PD-L1,Basal-like
17_76_47__s4,PD-L1,Basal-like
17_76_11__s5,PD-L1,Proliferating cells
13_48_74__s1,PD-L1,Proliferating cells
14_32_44__s2,PD-L1,Basal-like
14_64_19__s7,PD-L1,Basal-like
17_37_31__s2,PD-L1,Basal-like
15_28_87__s3,PD-L1,Basal-like
17_47_02__s3,PD-L1,Basal-like
14_70_02__s7,PD-L1,Basal-like
16_91_21__s4,PD-L1,Basal-like
14_48_96__s2,PD-L1,Basal-like
15_80_06__s1,PD-L1,Basal-like
17_25_65__s1,PD-L1,Proliferating cells
15_15_06__s3,PD-L1,Basal-like
17_62_78__s3,PD-L1,Proliferating cells
17_15_85__s2,PD-L1,Basal-like
17_42_48__s3,PD-L1,Basal-like
17_43_22__s8,PD-L1,Proliferating cells
15_41_27__s2,PD-L1,Proliferating cells
15_63_93__s4,PD-L1,Basal-like
16_74_14__s6,PD-L1,Proliferating cells
14_68_24__s7,PD-L1,Basal-like
17_32_62__s2,PD-L1,Proliferating cells
18_25_83__s8,PD-L1,Proliferating cells
17_08_79__s6,PD-L1,Basal-like
15_95_24__s6,PD-L1,Basal-like
17_38_96__s3,PD-L1,Basal-like
14_87_71__s1,PD-L1,Basal-like
18_29_96__s8,PD-L1,Basal-like
15_49_75__s1,PD-L1,Basal-like
17_32_56__s3,PD-L1,Proliferating cells
18_07_78__s3,PD-L1,Basal-like
15_02_19__s7,PD-L1,Basal-like
16_30_67__s4,PD-L1,Basal-like
14_05_04__s5,PD-L1,Basal-like
14_07_43__s7,PD-L1,Basal-like
14_20_34__s1,PD-L1,Proliferating cells
13_41_80__s8,PD-L1,Basal-like
17_25_40__s7,PD-L1,Proliferating cells
13_40_02__s1,PD-L1,Basal-like
15_67_62__s3,PD-L1,Basal-like
17_16_37__s3,PD-L1,Basal-like
14_41_09__s6,PD-L1,Basal-like
18_53_09__s6,PD-L1,Basal-like
18_65_90__s1,PD-L1,Proliferating cells
15_34_29__s7,PD-L1,Proliferating cells
17_24_46__s5,PD-L1,Proliferating cells
15_56_93__s3,PD-L1,Proliferating cells
18_84_42__s4,PD-L1,Basal-like
15_02_14__s5,PD-L1,Basal-like
17_83_85__s1,PD-L1,Proliferating cells
16_15_60__s2,PD-L1,Basal-like
18_52_26__s6,PD-L1,Basal-like
18_15_86__s7,PD-L1,Basal-like
17_82_20__s1,PD-L1,Basal-like
18_48_22__s2,PD-L1,Basal-like
18_46_30__s6,PD-L1,Basal-like
16_74_17__s8,PD-L1,Proliferating cells
18_29_80__s8,PD-L1,Proliferating cells
16_14_34__s8,PD-L1,Basal-like
15_08_58__s3,PD-L1,Basal-like
17_35_43__s5,PD-L1,Basal-like
16_44_85__s7,PD-L1,Proliferating cells
18_13_41__s3,PD-L1,Basal-like
17_76_48__s4,PD-L1,Basal-like
15_21_55__s4,PD-L1,Basal-like
18_41_33__s3,PD-L1,Basal-like
17_65_07__s2,PD-L1,Proliferating cells
14_39_43__s8,PD-L1,Proliferating cells
16_09_45__s2,PD-L1,Proliferating cells
15_48_76__s8,PD-L1,Proliferating cells
16_55_49__s7,PD-L1,Proliferating cells
13_05_06__s8,PD-L1,Proliferating cells
13_55_05__s1,PD-L1,Basal-like
13_83_91__s6,PD-L1,Basal-like
14_78_20__s3,PD-L1,Proliferating cells
18_84_12__s1,PD-L1,Proliferating cells
13_69_30__s6,PD-L1,Basal-like
16_48_86__s4,PD-L1,Proliferating cells
16_52_29__s5,PD-L1,Proliferating cells
18_63_26__s1,PD-L1,Basal-like
18_49_12__s1,PD-L1,Basal-like
17_94_21__s7,PD-L1,Proliferating cells
13_10_07__s3,PD-L1,Proliferating cells
14_94_88__s3,PD-L1,Basal-like
14_37_73__s6,PD-L1,Basal-like
13_63_33__s2,PD-L1,Proliferating cells
14_82_66__s2,PD-L1,Proliferating cells
14_07_50__s7,PD-L1,Basal-like
18_71_88__s2,PD-L1,Basal-like
16_24_01__s8,PD-L1,Basal-like
14_04_54__s7,PD-L1,Basal-like
18_18_36__s1,PD-L1,Basal-like
13_91_44__s3,PD-L1,Proliferating cells
15_87_49__s3,PD-L1,Proliferating cells
15_42_94__s5,PD-L1,Proliferating cells
14_92_43__s5,PD-L1,Proliferating cells
18_55_43__s6,PD-L1,Proliferating cells
13_87_68__s5,PD-L1,Basal-like
16_20_30__s3,PD-L1,Proliferating cells
18_56_28__s6,PD-L1,Basal-like
13_40_43__s2,PD-L1,Basal-like
18_27_89__s5,PD-L1,Basal-like
13_83_48__s5,PD-L1,Proliferating cells
15_04_23__s2,PD-L1,Basal-like
13_67_39__s7,PD-L1,Basal-like
15_27_52__s3,PD-L1,Basal-like
15_02_34__s1,PD-L1,Proliferating cells
15_06_06__s8,PD-L1,Basal-like
15_60_36__s3,PD-L1,Basal-like
16_59_61__s1,PD-L1,Basal-like
17_79_15__s8,PD-L1,Basal-like
13_51_46__s7,PD-L1,Basal-like
18_34_13__s3,PD-L1,Basal-like
13_11_06__s1,PD-L1,Basal-like
15_81_92__s4,PD-L1,Proliferating cells
16_88_63__s2,PD-L1,Basal-like
15_55_66__s4,PD-L1,Proliferating cells
14_77_80__s2,PD-L1,Basal-like
14_40_91__s4,PD-L1,Basal-like
14_15_77__s2,PD-L1,Basal-like
16_23_43__s1,PD-L1,Proliferating cells
14_63_86__s4,PD-L1,Basal-like
15_07_59__s1,PD-L1,Basal-like
15_37_60__s6,PD-L1,Basal-like
14_53_90__s3,PD-L1,Proliferating cells
17_79_16__s4,PD-L1,Basal-like
16_91_64__s2,PD-L1,Proliferating cells
13_05_43__s5,PD-L1,Basal-like
17_33_20__s6,PD-L1,Basal-like
15_59_38__s5,PD-L1,Proliferating cells
17_36_76__s8,PD-L1,Basal-like
13_41_41__s6,PD-L1,Proliferating cells
13_10_94__s6,PD-L1,Proliferating cells
17_52_50__s2,PD-L1,Proliferating cells
17_30_34__s7,PD-L1,Basal-like
13_09_88__s5,PD-L1,Proliferating cells
17_95_40__s7,PD-L1,Proliferating cells
15_70_52__s7,PD-L1,Proliferating cells
15_32_23__s6,PD-L1,Basal-like
16_87_79__s3,PD-L1,Proliferating cells
15_62_31__s3,PD-L1,Basal-like
15_07_33__s3,PD-L1,Basal-like
13_89_68__s3,PD-L1,Basal-like
17_02_45__s4,PD-L1,Basal-like
17_67_76__s6,PD-L1,Basal-like
16_15_56__s7,PD-L1,Basal-like
13_06_67__s4,PD-L1,Proliferating cells
17_61_16__s6,PD-L1,Proliferating cells
16_46_05__s3,PD-L1,Basal-like
13_43_24__s1,PD-L1,Basal-like
17_69_80__s3,PD-L1,Basal-like
17_52_22__s6,PD-L1,Basal-like
16_26_26__s6,PD-L1,Basal-like
17_65_89__s1,PD-L1,Basal-like
13_17_35__s6,PD-L1,Proliferating cells
16_80_15__s7,PD-L1,Basal-like
16_78_59__s1,PD-L1,Basal-like
18_31_75__s8,PD-L1,Basal-like
14_69_85__s1,PD-L1,Proliferating cells
17_44_04__s7,PD-L1,Proliferating cells
17_86_27__s4,PD-L1,Basal-like
15_27_39__s7,PD-L1,Basal-like
14_29_46__s2,PD-L1,Basal-like
13_20_65__s6,PD-L1,Proliferating cells
13_49_58__s3,PD-L1,Basal-like
17_17_87__s5,PD-L1,Basal-like
13_36_64__s5,PD-L1,Basal-like
16_66_78__s5,PD-L1,Basal-like
13_40_60__s2,PD-L1,Proliferating cells
16_73_17__s6,PD-L1,Basal-like
15_89_22__s7,PD-L1,Basal-like
13_31_04__s8,PD-L1,Basal-like
14_05_54__s1,PD-L1,Basal-like
13_73_80__s7,PD-L1,Basal-like
16_13_82__s3,PD-L1,Basal-like
18_05_22__s8,PD-L1,Basal-like
13_04_19__s7,PD-L1,Basal-like
16_92_19__s6,PD-L1,Basal-like
14_19_65__s1,PD-L1,Basal-like
16_04_48__s5,PD-L1,Basal-like
17_02_74__s6,PD-L1,Proliferating cells
18_53_30__s4,PD-L1,Proliferating cells
14_61_09__s1,PD-L1,Basal-like
16_16_54__s3,PD-L1,Basal-like
17_51_45__s1,PD-L1,Proliferating cells
15_70_92__s7,PD-L1,Proliferating cells
18_75_13__s5,PD-L1,Proliferating cells
14_36_09__s5,PD-L1,Proliferating cells
18_60_18__s6,PD-L1,Basal-like
13_22_70__s3,PD-L1,Basal-like
18_85_11__s1,PD-L1,Basal-like
15_19_94__s1,PD-L1,Basal-like
15_03_48__s2,PD-L1,Basal-like
13_17_19__s4,PD-L1,Proliferating cells
15_90_02__s5,PD-L1,Proliferating cells
14_07_51__s1,PD-L1,Basal-like
16_76_69__s3,PD-L1,Proliferating cells
14_47_75__s2,PD-L1,Basal-like
18_65_17__s6,PD-L1,Proliferating cells
17_79_26__s2,PD-L1,Basal-like
18_04_57__s1,PD-L1,Basal-like
13_73_14__s6,PD-L1,Basal-like
13_19_01__s6,PD-L1,Proliferating cells
17_01_25__s8,PD-L1,Basal-like
14_96_47__s3,PD-L1,Proliferating cells
15_02_62__s5,PD-L1,Basal-like
17_58_05__s3,PD-L1,Basal-like
15_39_06__s4,PD-L1,Basal-like
