Cell,Pms1,Prrx2,Ets1,Tet2,Crebrf,Gli3,Zhx2,A630089N07Rik,Zfhx4,Pbx3
18_60_18__s6,0.2748389757269049,0.4549591765794045,0.5747847944278408,0.5230268591310261,0.553874290242483,0.41819143676294623,0.6713405949459145,0.2445973270532678,0.5449156572041304,0.24892469119763655
13_22_70__s3,0.2559391095505957,0.5865601509179136,0.5941855992765931,0.546909636805204,0.6573395572392705,0.41558435477870137,0.5687417693311955,0.24179851267094246,0.5413441699662176,0.248973748225682
18_85_11__s1,0.3240515846962016,0.3525233301238495,0.5350469709658572,0.487143387900386,0.41961731269873687,0.4158217953560943,0.49491315076465997,0.28128255778107963,0.5040319771760261,0.27297447603298525
15_19_94__s1,0.2782896326092279,0.49393124928184284,0.5889408834884617,0.514333458639628,0.5515640340255786,0.4522460365092188,0.6437599063643302,0.24272131942593936,0.5419031690728253,0.2463754597128553
15_03_48__s2,0.3040005096860534,0.43753906974232915,0.6045557547780486,0.5312762353528537,0.5882532223200481,0.41166988075679245,0.5889884814471259,0.2611143128606003,0.4972602810409946,0.2609796062409101
13_17_19__s4,0.41493102937883075,0.2536920264920051,0.5200005502195508,0.4294088096874441,0.321999772959523,0.44528939106753035,0.4649913761929719,0.3696540483677174,0.45156838068297334,0.3561590544833644
15_90_02__s5,0.5235805352716233,0.35017601871083814,0.5778249750068251,0.4426275185664652,0.429952828716494,0.513687889441516,0.5147797465508921,0.4320961530312641,0.42991274397731805,0.393524661218067
14_07_51__s1,0.29367266002407677,0.42630583912012887,0.5952197947629908,0.5239884483204669,0.5632279358907168,0.41307617168824445,0.5964036989591243,0.2546512247146016,0.5080042698469928,0.25579970654268935
16_76_69__s3,0.5349404661054366,0.37624027784921027,0.49834246279912087,0.41213353486905396,0.35749056335730234,0.5663992313056305,0.43145669925184105,0.4497658110866459,0.4056400357443116,0.39907049268368905
14_47_75__s2,0.24347357881518722,0.593763383432227,0.5631269388373176,0.5322208005965029,0.6334945605276776,0.41054820658638064,0.6496150587251481,0.21998813396397088,0.541161777288413,0.23338067082599445
18_65_17__s6,0.46011110824949475,0.2832440397339075,0.5170300229056856,0.4452118023438763,0.3146617754838831,0.4793576128707465,0.4590950890972984,0.37192386460218396,0.46051165331381483,0.33554987581012613
17_79_26__s2,0.24578346364254453,0.5774240663227042,0.6045009014452554,0.5242497346593114,0.5828117921412074,0.45499307138101386,0.685803749841025,0.22675661961905855,0.5610796761518411,0.2406819531847138
18_04_57__s1,0.4306482525744887,0.3863147450142148,0.6093472908242533,0.4834431026436345,0.5049881014740407,0.4784606463350111,0.5385182379007106,0.33614275266267996,0.4752663289365768,0.31408905920512314
