Cell,category,label
14_42_05__s3,PD-L1,1
15_56_73__s3,PD-L1,1
18_28_20__s2,PD-L1,1
16_30_02__s8,PD-L1,1
14_89_52__s8,PD-L1,1
14_22_86__s7,PD-L1,1
15_49_71__s8,PD-L1,1
17_43_82__s1,PD-L1,1
15_71_56__s3,PD-L1,1
15_75_86__s3,PD-L1,1
17_73_35__s4,PD-L1,1
17_17_14__s1,PD-L1,1
16_40_04__s2,PD-L1,1
18_22_22__s8,PD-L1,1
15_66_80__s8,PD-L1,1
15_25_37__s6,PD-L1,1
16_16_69__s2,PD-L1,1
16_57_62__s1,PD-L1,1
13_50_46__s7,PD-L1,1
13_68_64__s3,PD-L1,1
14_80_91__s5,PD-L1,1
15_45_34__s1,PD-L1,1
17_62_96__s1,PD-L1,1
13_84_73__s8,PD-L1,1
18_85_01__s2,PD-L1,1
18_72_39__s5,PD-L1,1
15_65_81__s4,PD-L1,1
13_45_86__s5,PD-L1,1
15_53_86__s1,PD-L1,1
17_76_41__s5,PD-L1,1
18_79_73__s2,PD-L1,1
16_46_05__s2,PD-L1,1
13_24_45__s3,PD-L1,1
14_88_40__s7,PD-L1,1
16_34_38__s1,PD-L1,1
13_81_79__s7,PD-L1,1
13_08_30__s5,PD-L1,1
14_34_77__s5,PD-L1,1
16_85_79__s3,PD-L1,1
18_56_73__s2,PD-L1,1
15_87_34__s2,PD-L1,1
18_26_26__s1,PD-L1,1
17_39_35__s6,PD-L1,1
17_55_24__s6,PD-L1,1
15_79_54__s5,PD-L1,1
17_80_49__s8,PD-L1,1
15_01_52__s6,PD-L1,1
13_06_48__s1,PD-L1,1
16_04_64__s6,PD-L1,1
13_44_93__s7,PD-L1,1
14_05_80__s2,PD-L1,1
16_13_88__s3,PD-L1,1
13_79_96__s5,PD-L1,1
18_61_58__s5,PD-L1,1
17_56_82__s3,PD-L1,1
18_49_95__s4,PD-L1,1
16_47_43__s3,PD-L1,1
13_85_30__s6,PD-L1,1
17_25_27__s1,PD-L1,1
14_91_68__s5,PD-L1,1
14_55_31__s3,PD-L1,1
13_45_94__s5,PD-L1,1
18_40_84__s2,PD-L1,1
13_16_74__s1,PD-L1,1
13_04_19__s6,PD-L1,1
17_77_93__s5,PD-L1,1
14_22_64__s3,PD-L1,1
14_49_43__s1,PD-L1,1
14_93_30__s1,PD-L1,1
14_02_63__s7,PD-L1,1
18_09_21__s4,PD-L1,1
17_75_69__s5,PD-L1,1
14_49_06__s7,PD-L1,1
14_08_72__s4,PD-L1,1
18_54_34__s1,PD-L1,1
18_20_44__s8,PD-L1,1
13_54_63__s3,PD-L1,1
14_09_14__s7,PD-L1,1
13_84_45__s7,PD-L1,1
13_14_42__s5,PD-L1,1
17_09_81__s5,PD-L1,1
18_45_64__s5,PD-L1,1
18_11_94__s2,PD-L1,1
16_85_61__s7,PD-L1,1
17_93_33__s7,PD-L1,1
13_75_55__s2,PD-L1,1
13_28_24__s3,PD-L1,1
13_84_70__s1,PD-L1,1
14_93_54__s1,PD-L1,1
17_52_96__s7,PD-L1,1
15_16_06__s3,PD-L1,1
14_95_93__s4,PD-L1,1
15_48_55__s1,PD-L1,1
14_74_16__s8,PD-L1,1
14_57_42__s4,PD-L1,1
17_12_80__s1,PD-L1,1
17_40_74__s6,PD-L1,1
14_55_14__s1,PD-L1,1
16_44_74__s8,PD-L1,1
17_28_74__s2,PD-L1,1
15_31_55__s4,PD-L1,1
16_36_44__s5,PD-L1,1
18_64_67__s8,PD-L1,1
15_90_55__s5,PD-L1,1
17_22_70__s7,PD-L1,1
13_60_22__s3,PD-L1,1
15_42_38__s8,PD-L1,1
14_33_20__s2,PD-L1,1
18_09_51__s7,PD-L1,1
17_12_09__s6,PD-L1,1
15_09_89__s1,PD-L1,1
17_46_04__s3,PD-L1,1
13_47_24__s3,PD-L1,1
